customer_id,passed_funnel,city,shipping_state,shipping_zipcode,first_activity_at,attribution_channel,vendor,leadscore,q_age,q_apply,q_braces,q_budget,q_changes,q_clear_aligners,q_conditions,q_conditions1,q_conditions2,q_conditions3,q_dental_concerns,q_describe_teeth,q_finance_options,q_fsa_hsa,q_fsa_hsa_monthly,q_goals,q_happy,q_how_hear,q_hesitations,q_how_urgent,q_invisible_aligners,q_last_ortho,q_long,q_monthly,q_options_considering,q_ortho_checkup,q_referral,q_severity,q_teeth_spacing,q_urgency,q_whitening,q_why_interested,q_years_considering,q_zip,survey_started_at
314176,FALSE,,,,53:00.3,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336546,TRUE,Portland,OR,97211,04:12.2,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335852,TRUE,new york,NY,10038,58:00.1,organic search,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316471,TRUE,Dix Hills,NY,11746,25:29.7,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302204,TRUE,SAINT CLAIR,PA,17970,45:42.8,direct,,,,,no,under_2000,"[""gaps""]",skeptical,,,,,,"[""protruding""]",,yes,,always_wanted,unhappy,,,,,never,over_10,sure,"[""at_home""]",,facebook,moderate,,few_weeks,definitely,,,17970,50:43.4
272965,FALSE,Bronx,NY,10457,40:32.2,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274919,FALSE,,,,30:47.5,paid social,facebook/instagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303576,TRUE,Glen Ellen,CA,95442,46:15.0,paid search,google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265646,TRUE,Honesdale,PA,18431,27:50.3,organic search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275779,FALSE,,,,41:53.4,organic search,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289309,TRUE,Park City,UT,84060,44:14.0,referral,friendbuy,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
